doc_index,entity_group,entity_text,start,end,full_text
0,POLYMER,low density polyethylene,40,64,"A method for large- scale processing of low density polyethylene ( LDPE) nanofibers reinforced by aligned multi- walled carbon nanotubes ( MWCNTs) is achieved via nanolayer coextrusion. The morphology and nano- sized diameter of the nanofibers are observed on scanning electron microscope. The prioritized alignment and dispersion of MWCNTs along the fiber axis are determined by transmission electron microscopy, polarized Raman spectra, and high resolution optical microscopy. The dispersion of MWCNTs in nanofibers is better than that in homologous micron- fibers. In addition, MWCNTs can promote the crystallization of LDPE in varying degrees which depend on the fiber diameter and MWCNTs content. As a result of the alignment of MWCNTs, the nanofibers exhibit enhanced mechanical properties. The tensile strength of LDPE(1 wt % MWCNTs) nanofibers is more than twice of pure nanofibers ( without MWCNTs). The volume resistivity of the LDPE(MWCNTs) nanofiber mats containing 9 wt % MWCNTs can be reduced to 100 Ω cm."
0,POLYMER,ldpe,67,71,"A method for large- scale processing of low density polyethylene ( LDPE) nanofibers reinforced by aligned multi- walled carbon nanotubes ( MWCNTs) is achieved via nanolayer coextrusion. The morphology and nano- sized diameter of the nanofibers are observed on scanning electron microscope. The prioritized alignment and dispersion of MWCNTs along the fiber axis are determined by transmission electron microscopy, polarized Raman spectra, and high resolution optical microscopy. The dispersion of MWCNTs in nanofibers is better than that in homologous micron- fibers. In addition, MWCNTs can promote the crystallization of LDPE in varying degrees which depend on the fiber diameter and MWCNTs content. As a result of the alignment of MWCNTs, the nanofibers exhibit enhanced mechanical properties. The tensile strength of LDPE(1 wt % MWCNTs) nanofibers is more than twice of pure nanofibers ( without MWCNTs). The volume resistivity of the LDPE(MWCNTs) nanofiber mats containing 9 wt % MWCNTs can be reduced to 100 Ω cm."
0,INORGANIC,multi - walled carbon nanotubes,106,136,"A method for large- scale processing of low density polyethylene ( LDPE) nanofibers reinforced by aligned multi- walled carbon nanotubes ( MWCNTs) is achieved via nanolayer coextrusion. The morphology and nano- sized diameter of the nanofibers are observed on scanning electron microscope. The prioritized alignment and dispersion of MWCNTs along the fiber axis are determined by transmission electron microscopy, polarized Raman spectra, and high resolution optical microscopy. The dispersion of MWCNTs in nanofibers is better than that in homologous micron- fibers. In addition, MWCNTs can promote the crystallization of LDPE in varying degrees which depend on the fiber diameter and MWCNTs content. As a result of the alignment of MWCNTs, the nanofibers exhibit enhanced mechanical properties. The tensile strength of LDPE(1 wt % MWCNTs) nanofibers is more than twice of pure nanofibers ( without MWCNTs). The volume resistivity of the LDPE(MWCNTs) nanofiber mats containing 9 wt % MWCNTs can be reduced to 100 Ω cm."
0,INORGANIC,mwcnts,139,145,"A method for large- scale processing of low density polyethylene ( LDPE) nanofibers reinforced by aligned multi- walled carbon nanotubes ( MWCNTs) is achieved via nanolayer coextrusion. The morphology and nano- sized diameter of the nanofibers are observed on scanning electron microscope. The prioritized alignment and dispersion of MWCNTs along the fiber axis are determined by transmission electron microscopy, polarized Raman spectra, and high resolution optical microscopy. The dispersion of MWCNTs in nanofibers is better than that in homologous micron- fibers. In addition, MWCNTs can promote the crystallization of LDPE in varying degrees which depend on the fiber diameter and MWCNTs content. As a result of the alignment of MWCNTs, the nanofibers exhibit enhanced mechanical properties. The tensile strength of LDPE(1 wt % MWCNTs) nanofibers is more than twice of pure nanofibers ( without MWCNTs). The volume resistivity of the LDPE(MWCNTs) nanofiber mats containing 9 wt % MWCNTs can be reduced to 100 Ω cm."
0,INORGANIC,mwcnts,334,340,"A method for large- scale processing of low density polyethylene ( LDPE) nanofibers reinforced by aligned multi- walled carbon nanotubes ( MWCNTs) is achieved via nanolayer coextrusion. The morphology and nano- sized diameter of the nanofibers are observed on scanning electron microscope. The prioritized alignment and dispersion of MWCNTs along the fiber axis are determined by transmission electron microscopy, polarized Raman spectra, and high resolution optical microscopy. The dispersion of MWCNTs in nanofibers is better than that in homologous micron- fibers. In addition, MWCNTs can promote the crystallization of LDPE in varying degrees which depend on the fiber diameter and MWCNTs content. As a result of the alignment of MWCNTs, the nanofibers exhibit enhanced mechanical properties. The tensile strength of LDPE(1 wt % MWCNTs) nanofibers is more than twice of pure nanofibers ( without MWCNTs). The volume resistivity of the LDPE(MWCNTs) nanofiber mats containing 9 wt % MWCNTs can be reduced to 100 Ω cm."
0,INORGANIC,mwcnts,497,503,"A method for large- scale processing of low density polyethylene ( LDPE) nanofibers reinforced by aligned multi- walled carbon nanotubes ( MWCNTs) is achieved via nanolayer coextrusion. The morphology and nano- sized diameter of the nanofibers are observed on scanning electron microscope. The prioritized alignment and dispersion of MWCNTs along the fiber axis are determined by transmission electron microscopy, polarized Raman spectra, and high resolution optical microscopy. The dispersion of MWCNTs in nanofibers is better than that in homologous micron- fibers. In addition, MWCNTs can promote the crystallization of LDPE in varying degrees which depend on the fiber diameter and MWCNTs content. As a result of the alignment of MWCNTs, the nanofibers exhibit enhanced mechanical properties. The tensile strength of LDPE(1 wt % MWCNTs) nanofibers is more than twice of pure nanofibers ( without MWCNTs). The volume resistivity of the LDPE(MWCNTs) nanofiber mats containing 9 wt % MWCNTs can be reduced to 100 Ω cm."
0,INORGANIC,mwcnts,581,587,"A method for large- scale processing of low density polyethylene ( LDPE) nanofibers reinforced by aligned multi- walled carbon nanotubes ( MWCNTs) is achieved via nanolayer coextrusion. The morphology and nano- sized diameter of the nanofibers are observed on scanning electron microscope. The prioritized alignment and dispersion of MWCNTs along the fiber axis are determined by transmission electron microscopy, polarized Raman spectra, and high resolution optical microscopy. The dispersion of MWCNTs in nanofibers is better than that in homologous micron- fibers. In addition, MWCNTs can promote the crystallization of LDPE in varying degrees which depend on the fiber diameter and MWCNTs content. As a result of the alignment of MWCNTs, the nanofibers exhibit enhanced mechanical properties. The tensile strength of LDPE(1 wt % MWCNTs) nanofibers is more than twice of pure nanofibers ( without MWCNTs). The volume resistivity of the LDPE(MWCNTs) nanofiber mats containing 9 wt % MWCNTs can be reduced to 100 Ω cm."
0,POLYMER,ldpe,623,627,"A method for large- scale processing of low density polyethylene ( LDPE) nanofibers reinforced by aligned multi- walled carbon nanotubes ( MWCNTs) is achieved via nanolayer coextrusion. The morphology and nano- sized diameter of the nanofibers are observed on scanning electron microscope. The prioritized alignment and dispersion of MWCNTs along the fiber axis are determined by transmission electron microscopy, polarized Raman spectra, and high resolution optical microscopy. The dispersion of MWCNTs in nanofibers is better than that in homologous micron- fibers. In addition, MWCNTs can promote the crystallization of LDPE in varying degrees which depend on the fiber diameter and MWCNTs content. As a result of the alignment of MWCNTs, the nanofibers exhibit enhanced mechanical properties. The tensile strength of LDPE(1 wt % MWCNTs) nanofibers is more than twice of pure nanofibers ( without MWCNTs). The volume resistivity of the LDPE(MWCNTs) nanofiber mats containing 9 wt % MWCNTs can be reduced to 100 Ω cm."
0,INORGANIC,mwcnts,686,692,"A method for large- scale processing of low density polyethylene ( LDPE) nanofibers reinforced by aligned multi- walled carbon nanotubes ( MWCNTs) is achieved via nanolayer coextrusion. The morphology and nano- sized diameter of the nanofibers are observed on scanning electron microscope. The prioritized alignment and dispersion of MWCNTs along the fiber axis are determined by transmission electron microscopy, polarized Raman spectra, and high resolution optical microscopy. The dispersion of MWCNTs in nanofibers is better than that in homologous micron- fibers. In addition, MWCNTs can promote the crystallization of LDPE in varying degrees which depend on the fiber diameter and MWCNTs content. As a result of the alignment of MWCNTs, the nanofibers exhibit enhanced mechanical properties. The tensile strength of LDPE(1 wt % MWCNTs) nanofibers is more than twice of pure nanofibers ( without MWCNTs). The volume resistivity of the LDPE(MWCNTs) nanofiber mats containing 9 wt % MWCNTs can be reduced to 100 Ω cm."
0,INORGANIC,mwcnts,734,740,"A method for large- scale processing of low density polyethylene ( LDPE) nanofibers reinforced by aligned multi- walled carbon nanotubes ( MWCNTs) is achieved via nanolayer coextrusion. The morphology and nano- sized diameter of the nanofibers are observed on scanning electron microscope. The prioritized alignment and dispersion of MWCNTs along the fiber axis are determined by transmission electron microscopy, polarized Raman spectra, and high resolution optical microscopy. The dispersion of MWCNTs in nanofibers is better than that in homologous micron- fibers. In addition, MWCNTs can promote the crystallization of LDPE in varying degrees which depend on the fiber diameter and MWCNTs content. As a result of the alignment of MWCNTs, the nanofibers exhibit enhanced mechanical properties. The tensile strength of LDPE(1 wt % MWCNTs) nanofibers is more than twice of pure nanofibers ( without MWCNTs). The volume resistivity of the LDPE(MWCNTs) nanofiber mats containing 9 wt % MWCNTs can be reduced to 100 Ω cm."
